series_id,Name,Category,Subcategory,Commodity,Region,Outfile,AdjFactor
PET.MD1SB_R50_1.M,"West Coast (PADD 5) Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSLout,PADD5,aPSM_Inventories.csv,1
PET.MD0SB_R10_1.M,"East Coast (PADD 1) Distillate Fuel Oil, 0 to 15 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSUout,PADD1,aPSM_Inventories.csv,1
PET.MD0SB_R20_1.M,"Midwest (PADD 2) Distillate Fuel Oil, 0 to 15 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSUout,PADD2,aPSM_Inventories.csv,1
PET.MD0SB_R30_1.M,"Gulf Coast (PADD 3) Distillate Fuel Oil, 0 to 15 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSUout,PADD3,aPSM_Inventories.csv,1
PET.MD0SB_R40_1.M,"Rocky Mountain (PADD 4) Distillate Fuel Oil, 0 to 15 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSUout,PADD4,aPSM_Inventories.csv,1
PET.MH1SB_R10_1.M,"East Coast (PADD 1) Heavy Gas Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,GO3,PADD1,aPSM_Inventories.csv,1
PET.MH1SB_R20_1.M,"Midwest (PADD 2) Heavy Gas Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,GO3,PADD2,aPSM_Inventories.csv,1
PET.MH1SB_R30_1.M,"Gulf Coast (PADD 3) Heavy Gas Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,GO3,PADD3,aPSM_Inventories.csv,1
PET.MH1SB_R50_1.M,"West Coast (PADD 5) Heavy Gas Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,GO3,PADD5,aPSM_Inventories.csv,1
PET.MBISBP11.M,"East Coast (PADD 1) Isobutane-Isobutylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,IC4,PADD1,aPSM_Inventories.csv,1
PET.MBISBP21.M,"Midwest (PADD 2) Isobutane-Isobutylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,IC4,PADD2,aPSM_Inventories.csv,1
PET.MBISBP31.M,"Gulf Coast (PADD 3) Isobutane-Isobutylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,IC4,PADD3,aPSM_Inventories.csv,1
PET.MBISB_R40_1.M,"Rocky Mountain (PADD 4) Isobutane-Isobutylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,IC4,PADD4,aPSM_Inventories.csv,1
PET.MBISBP51.M,"West Coast (PADD 5) Isobutane-Isobutylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,IC4,PADD5,aPSM_Inventories.csv,1
PET.MKJSBP11.M,"East Coast (PADD 1) Kerosene-Type Jet Fuel Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,JTAout,PADD1,aPSM_Inventories.csv,1
